Player ID,Name,Last Name,Cost Today,Form,Position,Team,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Points,Points/Game,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Chance Of Playing Next,Total Cost Change,Cost Change GW,Total Transfers Out,Transfers Out GW,Total Transfers in,Transfers in GW,Influence,Creativity,Threat,ICT Index,Last GW,GW39,GW40,GW41,GW42,GW43,GW44,Difficulty Score,Cost Today,Total Cost Change,Cost Change GW,Position,Team,Index,xGi,xGc
767,Mauro,Bandeira,£4.50,0,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,4,0,44,0,0,0,0,0,38,,,,,,,0,45,0,0,3,3,#DIV/0!,0,0
29,Philippe,Coutinho,£6.60,0,MID,Aston Villa,2.9,1,0,3,0,32,1.6,1,98,9,777,3,0,0,0,0,100,-£0.40,£0.00,1484303,0,234097,0,119.2,152.5,218,48.8,38,,,,,,,0,66,-4,0,3,7,#DIV/0!,0.24,0.94
31,Emiliano,Martínez,£5.00,0,GK,Aston Villa,6.6,0,0,11,3,135,3.8,15,678,38,3139,7,0,98,1,0,100,£0.00,£0.00,1032874,0,1063341,0,835.2,23,0,85.7,38,,,,,,,0,50,0,0,1,7,#DIV/0!,0.01,1.25
32,Calum,Chambers,£4.20,0,DEF,Aston Villa,0.2,0,0,0,0,13,0.9,0,67,4,345,2,0,0,0,0,100,-£0.30,£0.00,27653,0,11323,0,74.4,29.8,8,11.1,38,,,,,,,0,42,-3,0,2,7,#DIV/0!,0.09,1.53
33,Lucas,Digne,£4.50,0,DEF,Aston Villa,1.2,1,0,3,2,50,1.8,4,234,25,1492,5,0,0,0,0,100,-£0.50,£0.00,633382,0,352817,0,277.6,305.5,97,68.1,38,,,,,,,0,45,-5,0,2,7,#DIV/0!,0.14,1.56
34,Bertrand,Traoré,£4.90,0,MID,Aston Villa,0.1,2,0,1,0,20,2.5,1,57,1,226,1,0,0,0,0,100,-£0.10,£0.00,23944,0,8704,0,82,30.7,79,19,38,,,,,,,0,49,-1,0,3,7,#DIV/0!,0.35,0.66
35,Robin,Olsen,£3.90,0,GK,Aston Villa,1.4,0,0,1,0,10,2.5,1,62,8,280,0,0,11,0,0,100,-£0.10,£0.00,170088,0,122706,0,83.2,0,0,8.2,38,,,,,,,0,39,-1,0,1,7,#DIV/0!,0,2.75
36,Morgan,Sanson,£4.30,0,MID,Aston Villa,0.2,0,0,0,0,2,1,0,6,1,10,0,0,0,0,0,0,-£0.20,£0.00,48357,0,29851,0,4.2,0.5,0,0.4,38,,,,,,,0,43,-2,0,3,7,#DIV/0!,0,3.6
37,John,McGinn,£5.10,0,MID,Aston Villa,0.6,1,5,10,1,90,2.6,3,354,31,2692,7,0,0,0,0,100,-£0.40,£0.00,190897,0,71067,0,382,353.6,347,108.3,38,,,,,,,0,51,-4,0,3,7,#DIV/0!,0.19,1.26
38,Kortney,Hause,£4.40,0,DEF,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-£0.10,£0.00,2935,0,89,0,0,0,0,0,38,,,,,,,0,44,-1,0,2,7,#DIV/0!,0,0
39,Tyrone,Mings,£4.70,0,DEF,Aston Villa,12.5,1,3,12,1,130,3.7,17,617,40,3150,7,0,0,0,0,100,£0.20,£0.00,1363664,0,2097342,0,664.4,88.2,121,87.8,38,,,,,,,0,47,2,0,2,7,#DIV/0!,0.06,1.35
40,Ollie,Watkins,£7.30,0,FWD,Aston Villa,12.8,15,8,13,9,175,4.7,25,550,40,3129,4,0,0,0,1,100,-£0.20,£0.00,3125186,0,4129586,0,837.6,420.3,1308,256.7,38,,,,,,,0,73,-2,0,4,7,#DIV/0!,0.54,1.34
41,Marvelous,Nakamba,£4.30,0,MID,Aston Villa,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-£0.20,£0.00,31691,0,18713,0,0,0,0,0,38,,,,,,,0,43,-2,0,3,7,#DIV/0!,0,0
42,Emiliano,Buendía,£5.70,0,MID,Aston Villa,0.7,5,3,11,1,117,3.1,8,370,34,2404,0,0,0,0,0,,-£0.30,£0.00,260297,0,274210,0,441.6,559.9,582,158.5,38,,,,,,,0,57,-3,0,3,7,#DIV/0!,0.39,1.37
43,Matty,Cash,£4.60,0,DEF,Aston Villa,3.1,0,2,4,1,57,2.2,3,311,29,1817,4,0,0,0,0,100,-£0.40,£0.00,1788226,0,406341,0,303,178.3,67,54.9,38,,,,,,,0,46,-4,0,2,7,#DIV/0!,0.06,1.34
